Job ID,Title,CleanedDescription
3584766239,"Analyst, NA Data & Analytics","job description
are you ready to make it happen at mondelēz international?
join our mission to lead the future of snacking. make it with pride.
in this role you will have the opportunity to make a big impact on our business performance as you support the data strategy and execute the development and execution of custom models, algorithms and applications that enable business growth and revenue generation.
working in close partnership with the business leadership team, you will execute the vision and agenda for d&a
how you will contribute
> work collaboratively with multiple teams and external partners to execute the analytics roadmap which aligns with overall business objectives.
> you will execute delivery of applications that transform business processes, are scalable, sustainable, and embedded in the ways of working of business teams.
> deploy custom models/algorithms to uncover signals/patterns and trends to drive long-term business performance.
what you will bring
> proven track record of building strong relationships across the organization and continuous improvement of processes.
> savvy in usage of analytics techniques to create business impacts.
> the individual is passionate about delivering insights and has a solid financial and analytical acumen.
what extra ingredients you will bring:
> ./. (required) information systems/technology, business analytics or related field.
> 2+ years of relevant experience in data and analytics (cpg or fmcg is prefered).
> experience with data cleansing & validation with the ability to extract insights from disparate data sources in formulating stories.
> advanced skills in ms excel/google sheets and ms powerpoint/google slides.
> experience with data visualization tools ( tableau, powerbi).
> experience with programming on python/r
no relocation support available
business unit summary
the united states is the largest market in the mondelēz international family with a significant employee and manufacturing footprint. here, we produce our well-loved household favorites to provide our consumers with the right snack, at the right moment, made the right way. we have corporate offices, sales, manufacturing and distribution locations throughout the . to ensure our iconic brands—including oreo and chips ahoy! cookies, ritz, wheat thins and triscuit crackers, and swedish fish and sour patch kids confectionery products —are close at hand for our consumers across the country.
mondelēz global llc is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. applicants who require accommodation to participate in the job application process may contact 847-943-5460 for assistance.
for office-based, salaried roles at bakery and customer service & logistics locations, and some remote roles proof of covid-19 vaccination is required to be eligible for employment. religious, medical and/or other accommodations as required by law will be considered on a case by case basis. you may review the mondelēz covid vaccination policy by visiting the us careers website at /united-states. this covid-19 vaccine mandate does not apply to several . states that do not permit certain vaccination mandates, including, but not limited to alabama, arizona, arkansas, florida, indiana, montana, north dakota, tennessee, texas, utah, and west virginia.
job type
regular
analytics & modelling
analytics & data science
"
3584668586,Data Analyst,"position titleposition numberlocation
position title:
data analyst
position number:
441030
location:
usa, ca, cupertino 95014 position typeskills/attributes
position type
temporary
skills/attributes
python, r programming, sql estimated duration (in weeks)
estimated duration (in weeks)
12 min hourly rate($) max hourly rate($)
min hourly rate($)
60.00
max hourly rate($)
70.00
apply now
description
**only those lawfully authorized to work in the designated country associated with the position will be considered.**
**please note that all position start dates and duration are estimates and may be reduced or lengthened based upon a client’s business needs and requirements.**
job title: data analyst
duration: 3+ months (high possibility of extension)
location: cupertino, ca (hybrid- office: tue, wed, thu and remote: mon, fri)
job description:
this role’s scope will be business and product analytics. the candidates should have either data scientist or analytics skill set.
work on initiatives to drive growth. partner closely with analytics, data engineering and instrumentation teams. work falls broadly into 3 areas:
foundational: work with engineering to identify data needs for new initiatives and make sure the data pipeline is built. partner with instrumentation team to ensure tracking is in place before launches
reporting and measurement: identify, measure and communicate kpis for overall business and key initiatives. build and maintain regular reports and provide ad-hoc analysis to support business needs
business advisory: identify key learnings from data and distill findings into recommendations for business owners
top skills
business understanding. experience with growth or product analytics is a plus.
ability to structure and solve problems
sql, r or python
communication skills to package findings
work well within cross-functional teams
bachelors or masters in the fields of statistics, commerce, business analytics, applied mathematics
at least 2 years of experience, preferably in a consumer tech company or a subscription business.
benefits:
for information and details on employment benefits offered with this position, please visit here. should you have any questions/concerns, please contact our hr department via our secure website.
california pay equity:
for information and details on pay equity laws in california, please visit the state of california department of industrial relations' website here.
rose international is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender (expression or identity), national origin, arrest and conviction records, disability, veteran status or any other characteristic protected by law. positions located in san francisco and los angeles, california will be administered in accordance with their respective fair chance ordinances.
if you need assistance in completing this application, or during any phase of the application, interview, hiring, or employment process, whether due to a disability or otherwise, please contact our hr department.
rose international has an official agreement (id #132522), effective june 30, 2008, with the . department of homeland security, . citizenship and immigration services, employment verification program (e-verify). (posting required by ocga 13/10-91.).
"
3584653640,Data Analyst,"this role can be based out of the following facilities:
nyc, newark, nj, totowa, nj, phoenix, az, newnan, ga, aurora, co, irving, tx and grand prairie, tx
job description
as a data analyst, you will work with the fulfillment planning technology team to help build the next generation suite of internal tools that enable planning and operations teams to see and act quickly to changing business conditions. the data analyst will extract powerful insights from data to power our products and services.
you will …
work with analysts, engineers and planners to design, build, and maintain efficient, scalable and reliable data pipelines to support our business-critical needs in data ingestion, processing, and analysis
extract and analyze data to develop powerful data-driven insights using google sheets and sql
collaborate with other team members to integrate insights into tools
develop dashboards and visualizations to present insights
collaborate with other team members to troubleshoot, perform root cause analysis and optimize existing data pipelines and tools
work with other team members to challenge ensure data integrity for effective tool integration with other systems and workflows
at a minimum, you have …
bachelor's or master's degree in computer science, engineering or related field
1+ years of data science, analysis or engineering experience in fulfillment, logistics, supply chain, production, or related field working with physical goods
strong proficiency in sql and google sheets/excel
experience with python for data manipulation and analysis preferred
startup experience a plus
schedule
this is a full-time (40 hours, 5 days per week) role that requires working at least one weekend day. possible schedules include:
sunday - thursday
tuesday - saturday
new york pay range
$80,800—$101,000 usd
colorado pay range
$72,800—$91,000 usd
"
3584663189,Meter Data Analyst (Joplin),"our purpose is sustaining energy and water for life, and it is demonstrated in everything we do as a business, and as an employee team.
at liberty, we hire passionate people who care about doing the right thing for our customers. we are entrepreneurial, creative, and outcome-focused. here, your natural talent and achievements will flourish in an inclusive environment of teamwork, trust and continuous learning. we are always pursuing excellence to exceed our ambitions goals, rewarding both the goal outcome and how we achieve it.
purpose
an opportunity to join a dynamic team driven to source, attract and engage diverse top talent across north america. this position will be responsible for retrieving, verifying, maintaining and distributing metering information for major billing customers, load research samples, substation, generation, and intertie points while maintaining multiple meter information databases.
accountabilities
maintain daily processes and retrieve metering data through the ami systems that include owoc-collection manager, owoc-performance manager, field data management and iee/mdm and ensure that it is received successfully and accurately. troubleshoot meter interrogation and retrieval issues.
monitor, analyze, maintain and export meter data through ami for large customer billing, load research, commission requirements and for substation, generation and intertie monitoring.
acquire a working knowledge of how ami interacts with other software utilized in the meter data retrieval process.
receive, create, transfer, issue and inventory meters through maximo.
assist meter shop personnel with meter tasks and troubleshooting as needed.
fulfill time-sensitive duties for ami team members in their absence.
education and experience
high school diploma or equivalent and 1+ years of experience in customer watch.
it experience and knowledge of meter reading systems is preferred.
must be proficient using a keyboard and 10-key and have an above-average knowledge of pc-based computers.
must have the ability to work overtime, including some weekends as needed.
algonquin power & utilities corp. is a growing renewable energy and utility company with over $15 billion of assets across north america and internationally.
through our operating business (liberty), we provide regulated electricity, water, and natural gas utility services to over 1 million customer connections, primarily in north america. and, our growing portfolio of clean, renewable wind, solar, hydro and thermal power generation facilities represent over 3 gw of renewable generation capacity in operation and under construction.
with our robust, diversified, and growing presence in communities across north america and internationally, we are continually demonstrating our “think global, act local” business model.
what we offer
company funded pension program
full insurance benefits (health/dental/vision/life)
collaborative environment with a genuine flexible working policy
share purchase/match plan
defined contribution savings plan
top talent program
volunteer paid days off
employee assistance program
achievement fund
we are focused on building a diverse and inclusive workforce. if you are excited about this role and are not certain you meet the all the qualification requirements, we encourage you to apply to further investigate the opportunity.
we are an equal opportunity employer and value each person’s unique background, diversity, experiences, perspectives and talents. full participation of all employees in a safe, healthy and respectful environment is key to individual and company success. we are committed to fully utilizing the abilities of all of our employees and expect each of our employees to honor this commitment in their daily responsibilities.
"
3586131402,Data Analyst," data analyst iv 
this role’s scope will be business and product analytics. 
the candidates should have either data scientist or analytics skill set.
top skills:
must have: sql (r or python ok too) + tableau + big data
• business understanding. experience with growth or product analytics is a plus. 
• ability to structure and solve problems 
• communication skills to package findings 
• work well within cross-functional teams
• bachelors or masters in the fields of statistics, commerce, business analytics, applied mathematics
• at least 2 years of experience, preferably in a consumer tech company or a subscription business.
soft skills: ability to package data and work cross functionally.
work on initiatives to drive growth. partner closely with analytics, data engineering and instrumentation teams. work falls broadly into 3 areas: 
 foundational: work with engineering to identify data needs for new initiatives and make sure the data pipeline is built. partner with instrumentation team to ensure tracking is in place before launches 
 reporting and measurement: identify, measure and communicate kpis for overall business and key initiatives. build and maintain regular reports and provide ad-hoc analysis to support business needs 
business advisory: identify key learnings from data and distill findings into recommendations for business owners
"
3578114004,Data Analyst,"data analyst:
years of experience: minimum 4 years’ experience.
 
skills: data analysis, visual presentation of data for senior management, ability to work with multiple systems, ability to automate data collection and interpretation tasks
 
education: college degree preferred. bachelor’s degree in data analytics, industrial engineering are good degrees to come with; with 4 years of experience. will also consider an associate’s with 5+ years of data analytics exp. or masters degree with 2 years of data analytics exp.
responsibilities:
data analyst is responsible for pulling data to support trending of cost, risk score, savings, supplier performance, etc.
generate visual reports (., graphs, charts, tables) for senior management reviews and ad-hoc requests.
data analyst will focus on creating sustainable process for extracting and integrating data between multiple systems for the purpose of dashboard/metrics.
responsible to provide support to category managers and buyers for data collection, analysis and reporting.
identify opportunities to streamline data and reports for inventory, supplier performance, shortages, component demand, spend, savings, etc.
develop data queries based upon ad-hoc reports required to measure effectiveness of business processes.
 
key expectations:
excel, power-bi are minimum requirements/must haves. 
sql and visio are preferred skills. 
4 years’ experience in multi-national corporation (mnc) to effectively manage stakeholders.
self-drive to pursue goals/objectives and not waiting for instructions.
procurement/operations/supply chain knowledge a plus
ability to work under ambiguity
"
3583517739,Data Analyst,"job title: data analyst
duration: 12+ months
location: plano, tx (hybrid)
pay range: $35/hr. to $38/hr. on w2
intelliswift software inc. conceptualizes, builds, and supports the world's most amazing technology products and solutions. our team of rich experts from diverse backgrounds contributes to making intelliswift one of the most reliable partners in it and talent solutions. we specialize in delivering world-class digital product engineering, data management and analytics, and staffing solutions services to fortune companies, smbs, isvs, and fast-growing startups.
top must have skills: sql; tableau; excel
the main function of the data analyst is to provide business intelligence support and supporting areas by means of both repeatable and ad hoc reporting delivery reports (charts, graphs, tables, etc.) and analyses that enable informed business decisions.
job responsibilities
key role in managing care dashboards and reporting including design, data modeling, capabilities, automation, and templates.
key role in the team’s efforts to support the foundational projects connecting to our insights platform, especially around data management/design, data warehousing, optimizations, and best practices to enable insights and actions from stakeholders.
business continuity through platform/data availability is critical - this team member will understand when and how to raise issues to senior leadership for further guidance. will work with issues owners to track high-level progress, driving accountability, and resolve issues across care.
understand care customer journeys - ensure care data and systems are developed with the relevant functions that generate win-win-win insights (customer, employee, organization) that will allow care to connect the dots and identify and prioritize opportunities to improve and/or create processes.
learn care operations across different lines of business and leverage those understandings to ensure the direction of projects and activities support stakeholder needs
perform ad hoc analyses to identify opportunities and develop actionable recommendations through a rigorous, data-driven process; work proactively to uncover areas within the business to drive performance improvements to unlock productivity and accelerate execution.
skills
experience in data analytics, process improvement, customer feedback management, or similar data driven improvement experience
high competence/comfort with generating and evaluating sql queries
advanced skills with ms excel
experience with python, r, sas, hadoop (hive, pig), or similar systems
experience developing tableau dashboards (or similar platforms [power bi, domo, etc.])
experience using enterprise cx platforms such as qualtrics, medallia, or inmoment, similar
analytical skills with experience in root cause analysis
experience with business process design/improvement, including gathering requirements, documenting workflows and developing specifications (business framework and wireframe design, technical and qa documentation)
experience to interact with it teams (internal and external partners) to foster better data/system understanding, sourcing, flow, etc.
systems familiarity in sap, crm, call management tools or similar/related systems
experience with google or adobe analytics is a plus
experience with servicenow or other major crms is a plus
data science and/or statistical modeling experience is a plus
education/experience
bachelor's degree in a technical field such as computer science, computer engineering, math, statistics or related field required.
1-3 years of experience required.
equal employment opportunity statement
intelliswift celebrates a diverse and inclusive workforce. we offer equal employment opportunities to all applicants and employees. all qualified applicants will be considered regardless of race, color, sex, gender identity, gender expressions, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other protected basis under the law.
americans with disabilities act (ada)
if you require a reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please contact intelliswift human resources department
other employment statements
intelliswift participates in the e-verify program.
for information on intelliswift software, inc., visit our website at .
"
3584209894,Digital Data Analyst (Adobe Analytics or Google Analytics),"job description
100% telecommute.
responsibilities
develop instrumentation strategies and measurement frameworks across multiple websites & mobile apps
lead digital analytics implementation operations by managing and prioritizing all implementation requests
responsible for all implementation requests and ensure all have measurement standards implemented and are functioning as expected
deliver clear and concise measurement documentation
debugging/troubleshooting/resolving adobe configuration and integration issues
assess, audit and identify gaps in existing tagging, infrastructure and adobe launch configurations
partner with digital product & it development engineers on instrumentation configuration
support implementation architecture strategy
required qualifications
3+ years of experience in digital analytics
3+ years of experience working with adobe analytics or google analytics
2+ years of experience with digital analytic implementation technologies such as: google tag manager, tealium iq, or adobe launch
data layer expertise and experience
expertise in writing tagging specifications (sdr, implementation guides)
expertise leveraging charles proxy, observepoint, omnibug and other web developer tools to debug analytics tags
experience with quality assurance and debugging of tagging (media tags and analytics)
"
3584785115,Data Analyst,"description
responsibilities include analytic support for compensation analytics program, and other assigned program support/process improvement, and managing the implementation of assigned projects. role will provide support for responding to inquiries from hr, compensation colleagues and senior leadership. the compensation analyst will work with data and translate the data into conclusions, prepare presentations and make recommendations. ideal candidates will have superior technical abilities and proven track records for rolling up their sleeves and maintaining a high level of ownership and accountability.
key responsibilities
support day-to-day processes of compensation programs, including data
cleaning and manipulation using excel and r or other analytical software.
identify trends & patterns in data sets and interpret, synthesize, and
communicate the meaning of the data being presented for compensation
strategies.
prepare and present recommendations and presentations via analysis, creation
of charts, development of meeting materials.
create cost estimates for salary adjustments as required.
support various other projects and initiatives.
how you will contribute
required technical/functional (line) expertise
experience cleaning and manipulating large datasets using excel and r (.,
dplyr).
strong analytical and communication skills.
decision making and autonomy
work is performed with some direction; partners with manager, compensation
analytics to plan, schedule activities in accomplishing goals; work is reviewed
for adequacy in meeting goals.
ability to work independently, and with sense of urgency.
work on problems of diverse scope where analysis of data requires evaluation
of identifiable factors, including collaboration across teams and tasks, and
understanding of downstream impacts.
demonstrate excellent judgment in selecting methods and techniques for
obtaining solutions.
demonstrate end-to-end thinking when problem solving.
interaction
internal: hr, total rewards, hris colleagues, legal counsel and vendors
innovation
identify opportunities for greater value creation, in consideration of the values and our goals
develop approaches for continuous improvement complexity
demonstrated experience working with a dynamic workforce and peer set
demonstrated experience working with technical and educated workforce
demonstrated experience working in a global environment
essential
education, behavioral competencies and skills, requirements:
college, university or equivalent degree required
minimum of 1 year experience in analytical fields required
excellent verbal and written communication skills
high level of expertise in excel and r
highly desired
prior experience working with workday compensation data and data structures a plus
experience with 3rd party analytic platforms
strong analytical and problem-solving ability with end-to-end thinking
ability to work effectively in a fast paced, team-oriented, “hands-on” environment
ability to work well with others, and develop solutions
evidence of collaboration in execution of deliverables
additional requirements:
maintain highly confidential information
skills
r, excel, data analysis, data manipulation, data cleansing, python
top skills details
r,excel,data analysis,data manipulation,data cleansing
additional skills & qualifications
statistics background (academic or work experience)
understanding and interpreting regression models (these are already built out)
data visualization a nice to have (r or excel)
experience level
entry level
about teksystems
we're partners in transformation. we help clients activate ideas and solutions to take advantage of a new world of opportunity. we are a team of 80,000 strong, working with over 6,000 clients, including 80% of the fortune 500, across north america, europe and asia. as an industry leader in full-stack technology services, talent services, and real-world application, we work with progressive leaders to drive change. that's the power of true partnership. teksystems is an allegis group company.
the company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.
"
3583067523,Data Analyst,"location: atlanta, ga
employment type: full-time
salary: competitive
job description
responsibilities as a data analyst include reporting of data compiled from field offices, design and implement data collection systems, create and maintain spreadsheets/databases and other tasks as required.
major responsibilities include
analyzing and summarizing data from various company resources (internal warehouse, external vendors, web site, etc.)
developing and distributing the product reporting requests on a monthly and ad hoc basis performing sql queries, data mining, report creation, effectiveness tracking and data project consulting
analysis of internal data, public data, marketplace, customers, vendors and competitors to help aid in the site and product roadmap
develop and maintain statistical data used to measure current company products, which includes developing reports, querying databases and providing in depth analysis
analyze business requirements and create reports that will aid in the scoping of those business requests and requirements
creating metrics that help the business understand when to take products from experiment to emerging and emerging to established
identify key metrics that are needed on a daily, weekly and monthly basis and create a dashboard that can be consumed by product development, technology and/or the business
performs other duties as assigned/required
requirements
bachelor's degree in business, economics, finance, or closely related field
minimum of 3 years of strong data collection and analysis experience required
demonstrated proficiency with sql, excel, and statistical analysis
strong microsoft office skills; expert level ms excel experience strongly preferred
working knowledge of project management methods
ability to communicate effectively within the development team and across various teams within the business
proficiency with relational databases
working knowledge of microsoft sql server solutions, sql server 2008, integration services (ssis), analysis services (ssas), reporting services (ssrs), performance point server, moss, and multidimensional olap reporting tools (ms reporting services, ms excel-pivot tables, performance point services)
working knowledge and experience in sql language (sql server 2008)
good understanding and experience in etl (microsoft integration services/ssis)
excellent communication skills, both oral and written
language proficiency in english with excellent written and oral communication skills required
"
