Job ID,Title,CleanedDescription
3583434580,Data Engineer,"title: data engineer
location: 100% remote
duration: 12+ months contract
note
only w2.
any independent visa is fine.(except cpt and opt candidates)
experience preferred on the following tools and technology
ms sql
python
sharepoint
advanced excel skill (formulas, vba, power pivot, pivot table)
responsibilities
designing and implementing data transformation, ingestion and curation functions on gcp cloud using gcp native or custom programming designing and building production data pipelines from ingestion to consumption within a hybrid big data architecture, using java, python etc. performing detail assessments of current state data platforms and creating an appropriate transition path to gcp cloud analysing, re-architecting and re-platforming on-premise data warehouses to data platforms on gcp cloud using gcp/3rd party services optimizing data pipelines for performance and cost for large scale data lakes gcp stack- big query, cloud functions, pub sub, ci/cd automation github terraform for infrastructure development and deployment data modelling experience python
education
degree in computer science
"
3583084399,Data Engineer,"job description
as a data engineer in the analytics and behavior change group, you will be working on the deployment and experimentation platform to deliver personalized nudges to improve member health and encourage healthy actions. you will lead and participate in the design, build and management of large-scale data structures, pipelines, and efficient extract/load/transform (etl) workflows.
your main responsibilities will include:
developing large scale data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs.
writing etl (extract / transform / load) processes, designs database systems and develops tools for real-time and offline analytic processing.
collaborating with the data science team to transform data and integrate algorithms and models into automated processes.
using knowledge in hadoop architecture, hdfs commands and experience designing & optimizing queries to build data pipelines.
using strong programming skills in python, java or any of the major languages to build robust data pipelines and dynamic systems.
building data marts and data models to support data science and other internal customers.
integrates data from a variety of sources, assuring that they adhere to data quality and accessibility standards.
analyzing current information technology environments to identify and assess critical capabilities and recommend solutions.
pay range
the typical pay range for this role is:
minimum: $ 70,000
maximum: $ 140,000
please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. the actual salary offer will take into account a wide range of factors, including location.
required qualifications
2 + years of relevant data engineering experience.
1 + years of professional experience with java, python and other related programming languages.
1 + years of experience with distributed data/computing tools (mapreduce, hadoop, hive, kafka, spark, or mysql).
preferred qualifications
experience with cloud computing (aws, microsoft azure, google cloud).
experience with api’s.
experience with test-driven development and automated testing frameworks.
strong knowledge on building a continuous integration and deployment pipeline.
education
bachelor's degree or equivalent work experience in computer science, engineering, machine learning, or related discipline
business overview
"
3588895259,Data Engineer,"become a member of the biontech family!
based in cambridge, ma and gaithersburg, md. we are committed to improving the health of people worldwide with our fundamental research and our work in the area of development of immunotherapies utilizing the full potential of the immune system to fight cancer, infectious diseases and other serious diseases. we believe in scientific rigor, innovation and passion as driving forces. biontech was founded by scientists and physicians to translate science into survival by combining fundamental research and operational excellence.
with decades of deep immunology expertise and experience in developing and optimizing mrna as part of its broad suite of novel technologies, the company is working with the global community to defeat life-threatening and serious diseases such as cancer, covid-19, malaria and tuberculosis. the first ever approved mrna vaccine was created in the labs of biontech in mainz, germany. a fully integrated immunotherapy powerhouse. we remain focused on bringing our broad pipeline of next-generation immunotherapies and vaccines to people around the world to address cancer, infectious diseases, as well as a growing list of other medical conditions. to accomplish this, we continue to be deeply rooted in science and academic research while also having built a fully integrated, global immunotherapy company with cgmp and gmp manufacturing facilities anchored around deep expertise in immunology and complemented by an expanding set of capabilities.
job title: data engineers job location: 70 sidney street, cambridge, ma 02139 job responsibilities: 1. work closely in partnership with scientists to understand scientific challenges, data needs, business needs, technology and software requirements; 2. design and develop quality r shiny applications for visualization purposes to address the needs of scientists; 3. assist in the design and development of optimized and normalized database schemas as needed for the database layer of both data and software projects; 4. develop and establish devops best-practices including code-reviews, version control, continuous integration, continuous delivery and unit testing; 5. utilize domain knowledge of bioinformatics algorithms functional group worksflows to propose and implement automated software solutions to assist in laboratory ease and automation; 6. construct automated pipelines using new and existing python scripts with apache airflow as needed, to support a variety of data integration projects; 7. work with comp bio and other data-focused groups to identify public datasets of future interest and build pipelines importing them into the biontech data commons; 8. be comfortable working the aws cloud and implementing cloud-based software solutions; and 9. make scientific and engineering presentations to various groups and meetings in the company. job requirements: employer requires a master's degree in bioinformatics plus one (1) year of experience as a bioinformatics engineer. in addition, the employer requires the following: 1. experience with immune biology processes gained through one (1) year of work experience; 2. experience developing automated pipelines using python gained through one (1) year of work experience; 3. experience with sql database technologies gained through one (1) year of work experience or certification; 4. experience with cloud computing gained through one (1) year of work experience or certification; and 5. experience developing applications using r shiny gained through one (1) year of work experience. all years of experience may be gained concurrently. telecommuting is available from within the boston metro area. must be able to come to the office as needed. this position is eligible for biontech us ’s employee referral program. scott smith – associate director, talent acquisition by email  mail to biontech us inc., 40 erie street, suite 110, cambridge ma 02139 (attn: req#er04713)
benefits for you.
biontech us is committed to the well being of our team members and offers a variety of benefits supporting our diverse employee base. salaried/position-targeted hourly employees working 30+ hours per week are eligible for our comprehensive benefits package. benefits include but are not limited to:
life, ad&d, std and ltd insurance
hsa & fsa spending accounts
health & wellness, including free onsite gym access
adoption & surrogacy assistance
vacation and unlimited sick time
holidays and floating holidays, including discretionary winter shutdown
401(k) plan with significant company match
tuition reimbursement and professional development
commuting assistance and subsidized parking
discounted home and auto insurance
pet insurance
have we kindled your pioneering spirit?
then apply now for our location cambridge (boston) and simply send us your application documents using our online form.
biontech does not differentiate on the basis of gender, political opinion, religion or belief, nationality, ethnic or social origin, age, sexual orientation, marital status, disability, physical appearance, health status or any other aspect of personal status. we are committed to creating a diverse and inclusive environment and are proud to be an equal opportunity employer. most important – it’s a match!
biontech - as unique as you
"
3584653457,Data Engineer,"about us:
live experiences help people cross today’s digital divide and focus on what truly connects us – the here, the new, this once-in-a-lifetime moment that’s bringing us together. to fulfill gametime’s mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most.
we are looking for an organized, data-driven, and curious team player to work cross-functionally across the data, product, marketing, finance, and operations teams. as a data engineer, you will support and inform various functions throughout the company to solve business-critical issues, specifically related to our product, features, etc. you will develop new etl processes and deploy new technologies into the ecosystem. the ideal candidate will be able to thrive in a fast-paced environment and able to adapt to changes within the business and the industry.
what you'll be doing:
develop data pipelines and infrastructure that is fast, reliable, and accurate
create ingest processes for new data sources
maintain and develop data alerting infrastructure to quickly respond to and fix production issues
influence and build relationships with people across all levels of the organization, internally and externally
what our ideal candidate has:
1+ years of data engineer experience, ideally at a technology company
proficient in sql
experience with a programming language (python a plus)
ability to identify, analyze, and provide recommendations to complex business decisions
solid understanding of database concepts and architecture
ability to work across disparate data sources to obtain sensible results
strong collaboration and communication skills
experience analyzing user-centric products, preferably in the gaming or marketplace industries
strong problem-solving skills
some experience with python or r
experience with a data visualization software
what we can offer:
equity
medical, dental, & vision insurance
life insurance and disability benefits
401k, hsa, pre-tax savings programs
new equipment setup provided
diverse family-forming benefits through carrot fertility
wellness programs
tenure recognition
$130,000 - $175,000 a year
at gametime pay ranges are subject to change and assigned to a job based on specific market median of similar jobs according to 3rd party salary benchmark surveys. individual pay within that range can vary for several reasons including skills/capabilities, experience, and available budget.
gametime is committed to bringing together individuals from different backgrounds and perspectives. we strive to create an inclusive environment where everyone can thrive, feel a sense of belonging, and do great work together. as an equal opportunity employer, we prohibit any unlawful discrimination against a job applicant on the basis of their race, color, religion, veteran status, sex, parental status, gender identity or expression, transgender status, sexual orientation, national origin, age, disability or genetic information. we respect the laws enforced by the eeoc and are dedicated to going above and beyond in fostering diversity across our company.
"
3583434137,ETL Data Engineer,"all roles are hybrid in the office (2-3 days/week) unless remote is noted
w2 rate range
location details -noted below
only taking usc, gc or h4 ead, l2 visa or tn visa - they will not take opt ead or cpt
data analytics engineer etl informatica
charlotte nc or summit nj- 2 days in office/3 days remote local candidates only
12+ months
seeking a data engineer who can assist with transitioning and building new process/enhancements of current state as well as development.
will be responsible for the following on a daily basis
60% of this role is initially assisting in the identification of process changes/enhancements and the documentation/requirement definition within the data engineering team.
must have a strong background in data analytics delivery and data warehousing
must be strong in sql queries, stored procedures, query optimization and performance tuning
data engineering background to include: analyzing current state, document the use of tools, primarily ssis, adopt any etl tool, create documentation, process and test.
assessing current state/process and documenting current issues and willing to learn/adapt to other etl tools outside of ssis
documentation and building of new technical documents based on review of trouble tickets
must be able to help understand and define current state and ensure new enhancements as well as assist in implementing changes
required experience
8+ years of data engineering experience within etl/informatica, sql and ssis
strong background working within agile
8+ years of data management experience including data modeling, data integrity and data quality
6+ years rdbms such as sql server, oracle or mysql
6+ years of experience writing relational database queries (sql) for stored procedures, query optimization and performance tuning
6+ years of experience with etl tools (ssis)
6+ years of experience with large data and analytic environments
2+ years of experience with agile practices
experience with autosys or other automation/scheduling tools
"
3584787956,Data Engineer,"radancy data engineering is seeking a data engineer to support building new data products and services.
about
radancy data engineering works on data services across product organizations within radancy, and supports building a customer facing data visualization product. the data engineering team supports an enterprise grade recruitment platform focusing on talent acquisition and job opportunity exploration.
the team has extensive experience in etl development, works with large scale data in real time, and cross collaborates with other engineering teams across the organization.
build and maintain etl pipelines utilizing python that connect 1st and 3rd party data
work with cloud computing platforms (gcp/aws), luigi, kafka and other open-source technologies
conduct data modeling, schema design, and sql development
ingest and aggregate data from both internal and external data sources to build our world class datasets
develop and lead the testing and fixing of new or enhanced solutions for data products and reports, including automating etl testing
collaborate with product owner and domain experts to recognize and help adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation
assist with the development and review of technical and end user documentation including etl workflows, research, and data analysis
work with product team to define data collection and engineering frameworks
build monitoring dashboards and automate data quality testing
responsible for daily integrity checks, performing deployments and releases 
own meaningful parts of our service, have an impact, grow with the company
3+ years of python, sql, and etl development 
bachelors or masters degree in computer science or other related field
product / reporting suite experience
familiarity with c#, .net, kafka, docker
exposure to front end development: html, javascript, jquery, angular or similar libraries
exposure / familiarity with google cloud platform / bigquery / amazon redshift
adtech experience preferred
enthusiastic about working with and exploring new data sets 
detail oriented and strong communicator
join the global leader in talent acquisition technologies that’s committed to finding new ways to leverage software, strategy and creative to enhance our clients’ employer brands – across every connection point. we’re looking for unconventional thinkers. relentless collaborators. and ferocious innovators. talented individuals who are ready to work towards solutions that transform the way employers and job seekers connect.
salary range: $120,000.00-$135,000.00*
the above range is based on a wide array of factors unique to each candidate, including but not limited to skill set, years and depth of experience, certifications, and specific office location.
radancy is an equal opportunity employer and welcomes all qualified applicants regardless of race, ethnicity, religion, gender, gender identity, sexual orientation, disability status, protected veteran status, or any other characteristic protected by law. we actively work to create an inclusive environment where all of our employees can thrive.
"
3589480973,Data Engineer,"
"
3583075069,Data engineer,"job title :: data engineer location :: remote skill python sql informatica idq
cloud bc labs inc is a digital transformation organization aimed at creating seamless solutions for clients to effectively manage their business operations. the company specializes in business and management consulting, ai/ml, data analytics & visualization, cloud data warehouse migration, snowflake implementation, informatica implementation & upgrade, staffing services and data management solutions
"
3583544713,Data Engineer,"role: data engineer
job location: charlotte/ rhodeisland
experience: min 9years
work mode: full time
skills required:
java spark, scala and aws are mandatory.
mandatory cloud migration skills and lead level skills
experience with big data tools: hadoop, spark, kafka, etc.
experience with relational sql and nosql databases, including postgres and cassandra.
experience with data pipeline and workflow management tools: azkaban, luigi, airflow, etc.
experience with aws cloud services: ec2, emr, rds, redshift
experience with stream-processing systems: storm, spark-streaming, etc.
experience with object-oriented/object function scripting languages: python, java, c++, scala, etc.
best wishes,
lokesh potnuri
recruiter 
614-356-8153
"
3589489836,Analytics Engineer,"it's fun to work in a company where people truly believe in what they are doing!
we're committed to bringing passion and customer focus to the business.
fractal is a strategic ai partner to fortune 500 companies with a vision to power every human decision in the enterprise. fractal is building a world where individual choices, freedom, and diversity are the greatest assets. an ecosystem where human imagination is at the heart of every decision. where no possibility is written off, only challenged to get better. we believe that a true fractalite is the one who empowers imagination with intelligence. fractal has been featured as a great place to work by the economic times in partnership with the great place to work® institute and recognized as a ‘cool vendor’ and a ‘vendor to watch’ by gartner.
position overview
fractal is looking for a proactive and driven engineer to join our data engineering and analytics team in new york, new jersey, remote area. in this role, you will play a vital role as the client and team lead with hands-on involvement in project management, business interpretation and application of solutions, client communication, insights/results delivery. 
this is a perfect opportunity for someone, who is looking to combine best-in-class analytics skills with strong problem-solving and communication abilities to perform analytical work to help clients solve strategic, tactical, and operational business problems.
the perfect candidate will have experience in both data engineering and data science.
data engineer- data management & platforms
primary responsibilities
play a key role in the success and growth of the data engineering team by mentoring and playing a leadership role within the team
drive innovation within data engineering by playing a lead role in technology decisions for the future of our data science, analysis, and reporting needs
work with business partners and software engineers to gather, understand, and bridge definitions and requirements
lead the design and development for highly complex and critical data projects with strict timelines
improvements to team efficiency and effectiveness through implementation of data tools (self-service, data quality, etc.)
design, develop and maintain data pipelines to extract data from a variety of sources and populate data lake and data warehouse
develop the various data transformation rules and data modeling capabilities
collaborate with data analyst, data scientists, machine learning engineers to identify and transform data for ingestion, exploration, and modeling
work with data governance team and implement data quality checks and maintain data catalogs
use orchestration, logging, and monitoring tools to build resilient pipelines
use test driven development methodology when building elt/etl pipelines
understand and apply concepts like data lake, data warehouse, lake-house, data mesh and data-fabric where relevant
develop data models for cloud data warehouses like redshift and snowflake
develop pipelines to ingest data into cloud data warehouses
understand and be able to use different databases like relational, document, graph and key/value
analyze data using sql
use serverless aws services like glue, lambda, stepfunctions
use terraform code to deploy on aws
containerize python code using docker
use git for version control and understand various branching strategies
build pipelines to work with large datasets using pyspark
develop proof of concepts using jupyter notebooks
work as part of an agile team
create technical documentation as needed
education
bachelor’s degree or equivalent experience in a relevant field such as mathematics, computer science, engineering, artificial intelligence, etc.
required experience and skills
7+ years of relevant experience
good experience with aws services like s3, ecs, fargate, glue, stepfunctions, cloudwatch, lambda, emr
sql
proficient in python, pyspark
good with git, docker, terraform
ability to work in cross functional teams
preferred experience and skills
any aws developer or architect certification
agile development methodology
pay
the wage range for this role takes into account the wide range of factors that are considered in making compensation decisions including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. the disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. at fractal, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. a reasonable estimate of the current range is: $100-$120k in addition, for the current performance period, you may be eligible for a discretionary bonus.
benefits
fractal provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
if you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
not the right fit? let us know you're interested in a future opportunity by clicking introduce yourself in the top-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!
"
