Job ID,Title,CleanedDescription
3591457401,Data Scientist (Entry Level ),"remote (us/canada residing people only, with work permit)
patterned learning – data scientist (entry level ) , full-time, salary $100k - $130k a year.
about us: the future of ai is patterned, a stealth-mode technology startup. top investors include sequoia and anderson horowitz, founders from google, deepmind, and nasa and we’re hiring for almost everything!
about the job requirements
. in data science/electrical engineering/computer science
experience in machine learning, data science or similar roles
experience with version control systems, collaborative coding frameworks and scalable engineering tools such as docker
solid understanding of the theory and practice of machine learning algorithms
experience building functional prototypes and/or products in python
dsp or/and timeseries analysis an advantage
knowledge of human physiology and bioelectric or optical sensing techniques is a nice bonus
collaborative approach with strong written and verbal communication skills
efficient, creative and able to manage multiple projects concurrently
special benefits you will love
flexible vacation, paid holidays, and paid sick days
401(k) with up to 2% employer match (no match)
schedule: 8 hour shift, monday to friday , time: flexible, job type: full-time
"
3590538877,"Data Scientist, SMB Data and Analytics","snap inc is a technology company. we believe the camera presents the greatest opportunity to improve the way people live and communicate. snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. the company’s three core products are snapchat, a visual messaging app that enhances your relationships with friends, family, and the world; lens studio, an augmented reality platform that powers ar across snapchat and other services; and its ar glasses, spectacles.
snapchat is a camera and messaging app that connects people to their friends and the world. every day around the globe, millions of people use snapchat to communicate with friends, build relationships, play, and learn. no matter where you are or how you express yourself, it’s always the fastest way to share a moment!
we’re looking for a data scientist, smb data & analytics to join snap inc.
what you’ll do:
drive smb’s global business strategy, advise its execution, improve efficiency and facilitate customers’ success at scale.
lead the development of our predictive algorithms across a number of different areas all with the aim of better understanding our customer and our business
lead and perform deep-dive analyses using analytical and statistical tools on very large, complex, multi-dimensional datasets.
identify levers for revenue & retention growth, efficiency enhancement and investments to unlock non-linear business growth.
advocate for key smb-oriented insights and recommendations with partner teams, including product, engineering, sales, growth, and operations.
establish a rigorous set of kpis and metrics (input and output) for measuring advertiser growth, revenue and retention.
provide quantitative support, market understanding and a strategic perspective to smb and its partner teams on all questions involving small and medium businesses.
knowledge, skills & abilities:
expertise using data modeling skills to identify key product trends and new product opportunities
ability to design implement, and track core metrics to analyze the performance of our products
ability to create visuals, dashboards, and reports to optimally communicate your insights
ability to collaborate with engineers, product managers, and other cross-functional teams
ability to initiate and drive projects to completion with minimal guidance
an understanding of snapchat with great product sense and product understanding
minimum qualifications:
bs/ba degree in statistics, mathematics, economics, computer science or equivalent years of experience
3+ years of experience in quantitative analysis & data science or a related field
3+ years of experience using sql or similar big data querying languages
3+ years of experience with programming language, such as python or r
3+ years of experience with applied statistical techniques, such as inferential methods, causal methods, a/b testing, or statistical modeling techniques
preferred qualifications:
advanced degree in applied mathematics, statistics, actuarial science, economics or related field
experience using machine learning and statistical analysis for building data-driven product solutions or performing methodological research.
experience in online media/marketing measurement, analytics, or statistics, preferably in a consumer/ smb business
experience working with sales, marketing, and/or customer service organizations.
compensation
in the united states, work locations are assigned a pay zone which determines the salary range for the position. the successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. these pay zones may be modified in the future.
zone a (ca, wa, nyc): the base salary range for this position is $165,000 - $230,000 annually
zone b: the base salary range for this position is $157,000 - $219,000 annually
zone c: the base salary range for this position is $140,000 - $196,000 annually
this position is eligible for equity in the form of rsus
""default together"" policy at snap: at snap inc. we believe that being together in person helps us build our culture faster, reinforce our values, and serve our community, customers and partners better through dynamic collaboration. to reflect this, we practice a “default together” approach and expect our team members to work in an office at least 80% of the time (an average of 4 days per week).
if you are not based in the same location(s) listed for this role and are open to relocation, we encourage you to apply to take advantage of our generous relocation policy.
at snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. eoe, including disability/vets. if you have a disability or special need that requires accommodation, please don’t be shy and contact us at .
our benefits: snap inc. is its own community, so we’ve got your back! we do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. our benefits are built around your needs and include paid parental leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in snap’s long-term success!
"
3590545035,"Data Scientist, SMB Data and Analytics","snap inc is a technology company. we believe the camera presents the greatest opportunity to improve the way people live and communicate. snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. the company’s three core products are snapchat, a visual messaging app that enhances your relationships with friends, family, and the world; lens studio, an augmented reality platform that powers ar across snapchat and other services; and its ar glasses, spectacles.
snapchat is a camera and messaging app that connects people to their friends and the world. every day around the globe, millions of people use snapchat to communicate with friends, build relationships, play, and learn. no matter where you are or how you express yourself, it’s always the fastest way to share a moment!
we’re looking for a data scientist, smb data & analytics to join snap inc.
what you’ll do:
drive smb’s global business strategy, advise its execution, improve efficiency and facilitate customers’ success at scale.
lead the development of our predictive algorithms across a number of different areas all with the aim of better understanding our customer and our business
lead and perform deep-dive analyses using analytical and statistical tools on very large, complex, multi-dimensional datasets.
identify levers for revenue & retention growth, efficiency enhancement and investments to unlock non-linear business growth.
advocate for key smb-oriented insights and recommendations with partner teams, including product, engineering, sales, growth, and operations.
establish a rigorous set of kpis and metrics (input and output) for measuring advertiser growth, revenue and retention.
provide quantitative support, market understanding and a strategic perspective to smb and its partner teams on all questions involving small and medium businesses.
knowledge, skills & abilities:
expertise using data modeling skills to identify key product trends and new product opportunities
ability to design implement, and track core metrics to analyze the performance of our products
ability to create visuals, dashboards, and reports to optimally communicate your insights
ability to collaborate with engineers, product managers, and other cross-functional teams
ability to initiate and drive projects to completion with minimal guidance
an understanding of snapchat with great product sense and product understanding
minimum qualifications:
bs/ba degree in statistics, mathematics, economics, computer science or equivalent years of experience
3+ years of experience in quantitative analysis & data science or a related field
3+ years of experience using sql or similar big data querying languages
3+ years of experience with programming language, such as python or r
3+ years of experience with applied statistical techniques, such as inferential methods, causal methods, a/b testing, or statistical modeling techniques
preferred qualifications:
advanced degree in applied mathematics, statistics, actuarial science, economics or related field
experience using machine learning and statistical analysis for building data-driven product solutions or performing methodological research.
experience in online media/marketing measurement, analytics, or statistics, preferably in a consumer/ smb business
experience working with sales, marketing, and/or customer service organizations.
compensation
in the united states, work locations are assigned a pay zone which determines the salary range for the position. the successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. these pay zones may be modified in the future.
zone a (ca, wa, nyc): the base salary range for this position is $165,000 - $230,000 annually
zone b: the base salary range for this position is $157,000 - $219,000 annually
zone c: the base salary range for this position is $140,000 - $196,000 annually
this position is eligible for equity in the form of rsus
""default together"" policy at snap: at snap inc. we believe that being together in person helps us build our culture faster, reinforce our values, and serve our community, customers and partners better through dynamic collaboration. to reflect this, we practice a “default together” approach and expect our team members to work in an office at least 80% of the time (an average of 4 days per week).
if you are not based in the same location(s) listed for this role and are open to relocation, we encourage you to apply to take advantage of our generous relocation policy.
at snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. eoe, including disability/vets. if you have a disability or special need that requires accommodation, please don’t be shy and contact us at .
our benefits: snap inc. is its own community, so we’ve got your back! we do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. our benefits are built around your needs and include paid parental leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in snap’s long-term success!
"
3590543261,"Data Scientist, SMB Data and Analytics","snap inc is a technology company. we believe the camera presents the greatest opportunity to improve the way people live and communicate. snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. the company’s three core products are snapchat, a visual messaging app that enhances your relationships with friends, family, and the world; lens studio, an augmented reality platform that powers ar across snapchat and other services; and its ar glasses, spectacles.
snapchat is a camera and messaging app that connects people to their friends and the world. every day around the globe, millions of people use snapchat to communicate with friends, build relationships, play, and learn. no matter where you are or how you express yourself, it’s always the fastest way to share a moment!
we’re looking for a data scientist, smb data & analytics to join snap inc.
what you’ll do:
drive smb’s global business strategy, advise its execution, improve efficiency and facilitate customers’ success at scale.
lead the development of our predictive algorithms across a number of different areas all with the aim of better understanding our customer and our business
lead and perform deep-dive analyses using analytical and statistical tools on very large, complex, multi-dimensional datasets.
identify levers for revenue & retention growth, efficiency enhancement and investments to unlock non-linear business growth.
advocate for key smb-oriented insights and recommendations with partner teams, including product, engineering, sales, growth, and operations.
establish a rigorous set of kpis and metrics (input and output) for measuring advertiser growth, revenue and retention.
provide quantitative support, market understanding and a strategic perspective to smb and its partner teams on all questions involving small and medium businesses.
knowledge, skills & abilities:
expertise using data modeling skills to identify key product trends and new product opportunities
ability to design implement, and track core metrics to analyze the performance of our products
ability to create visuals, dashboards, and reports to optimally communicate your insights
ability to collaborate with engineers, product managers, and other cross-functional teams
ability to initiate and drive projects to completion with minimal guidance
an understanding of snapchat with great product sense and product understanding
minimum qualifications:
bs/ba degree in statistics, mathematics, economics, computer science or equivalent years of experience
3+ years of experience in quantitative analysis & data science or a related field
3+ years of experience using sql or similar big data querying languages
3+ years of experience with programming language, such as python or r
3+ years of experience with applied statistical techniques, such as inferential methods, causal methods, a/b testing, or statistical modeling techniques
preferred qualifications:
advanced degree in applied mathematics, statistics, actuarial science, economics or related field
experience using machine learning and statistical analysis for building data-driven product solutions or performing methodological research.
experience in online media/marketing measurement, analytics, or statistics, preferably in a consumer/ smb business
experience working with sales, marketing, and/or customer service organizations.
compensation
in the united states, work locations are assigned a pay zone which determines the salary range for the position. the successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. these pay zones may be modified in the future.
zone a (ca, wa, nyc): the base salary range for this position is $165,000 - $230,000 annually
zone b: the base salary range for this position is $157,000 - $219,000 annually
zone c: the base salary range for this position is $140,000 - $196,000 annually
this position is eligible for equity in the form of rsus
""default together"" policy at snap: at snap inc. we believe that being together in person helps us build our culture faster, reinforce our values, and serve our community, customers and partners better through dynamic collaboration. to reflect this, we practice a “default together” approach and expect our team members to work in an office at least 80% of the time (an average of 4 days per week).
if you are not based in the same location(s) listed for this role and are open to relocation, we encourage you to apply to take advantage of our generous relocation policy.
at snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. eoe, including disability/vets. if you have a disability or special need that requires accommodation, please don’t be shy and contact us at .
our benefits: snap inc. is its own community, so we’ve got your back! we do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. our benefits are built around your needs and include paid parental leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in snap’s long-term success!
"
3590541422,"Data Scientist, SMB Data and Analytics","snap inc is a technology company. we believe the camera presents the greatest opportunity to improve the way people live and communicate. snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. the company’s three core products are snapchat, a visual messaging app that enhances your relationships with friends, family, and the world; lens studio, an augmented reality platform that powers ar across snapchat and other services; and its ar glasses, spectacles.
snapchat is a camera and messaging app that connects people to their friends and the world. every day around the globe, millions of people use snapchat to communicate with friends, build relationships, play, and learn. no matter where you are or how you express yourself, it’s always the fastest way to share a moment!
we’re looking for a data scientist, smb data & analytics to join snap inc.
what you’ll do:
drive smb’s global business strategy, advise its execution, improve efficiency and facilitate customers’ success at scale.
lead the development of our predictive algorithms across a number of different areas all with the aim of better understanding our customer and our business
lead and perform deep-dive analyses using analytical and statistical tools on very large, complex, multi-dimensional datasets.
identify levers for revenue & retention growth, efficiency enhancement and investments to unlock non-linear business growth.
advocate for key smb-oriented insights and recommendations with partner teams, including product, engineering, sales, growth, and operations.
establish a rigorous set of kpis and metrics (input and output) for measuring advertiser growth, revenue and retention.
provide quantitative support, market understanding and a strategic perspective to smb and its partner teams on all questions involving small and medium businesses.
knowledge, skills & abilities:
expertise using data modeling skills to identify key product trends and new product opportunities
ability to design implement, and track core metrics to analyze the performance of our products
ability to create visuals, dashboards, and reports to optimally communicate your insights
ability to collaborate with engineers, product managers, and other cross-functional teams
ability to initiate and drive projects to completion with minimal guidance
an understanding of snapchat with great product sense and product understanding
minimum qualifications:
bs/ba degree in statistics, mathematics, economics, computer science or equivalent years of experience
3+ years of experience in quantitative analysis & data science or a related field
3+ years of experience using sql or similar big data querying languages
3+ years of experience with programming language, such as python or r
3+ years of experience with applied statistical techniques, such as inferential methods, causal methods, a/b testing, or statistical modeling techniques
preferred qualifications:
advanced degree in applied mathematics, statistics, actuarial science, economics or related field
experience using machine learning and statistical analysis for building data-driven product solutions or performing methodological research.
experience in online media/marketing measurement, analytics, or statistics, preferably in a consumer/ smb business
experience working with sales, marketing, and/or customer service organizations.
compensation
in the united states, work locations are assigned a pay zone which determines the salary range for the position. the successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. these pay zones may be modified in the future.
zone a (ca, wa, nyc): the base salary range for this position is $165,000 - $230,000 annually
zone b: the base salary range for this position is $157,000 - $219,000 annually
zone c: the base salary range for this position is $140,000 - $196,000 annually
this position is eligible for equity in the form of rsus
""default together"" policy at snap: at snap inc. we believe that being together in person helps us build our culture faster, reinforce our values, and serve our community, customers and partners better through dynamic collaboration. to reflect this, we practice a “default together” approach and expect our team members to work in an office at least 80% of the time (an average of 4 days per week).
if you are not based in the same location(s) listed for this role and are open to relocation, we encourage you to apply to take advantage of our generous relocation policy.
at snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. eoe, including disability/vets. if you have a disability or special need that requires accommodation, please don’t be shy and contact us at .
our benefits: snap inc. is its own community, so we’ve got your back! we do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. our benefits are built around your needs and include paid parental leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in snap’s long-term success!
"
3590541421,"Data Scientist, SMB Data and Analytics","snap inc is a technology company. we believe the camera presents the greatest opportunity to improve the way people live and communicate. snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. the company’s three core products are snapchat, a visual messaging app that enhances your relationships with friends, family, and the world; lens studio, an augmented reality platform that powers ar across snapchat and other services; and its ar glasses, spectacles.
snapchat is a camera and messaging app that connects people to their friends and the world. every day around the globe, millions of people use snapchat to communicate with friends, build relationships, play, and learn. no matter where you are or how you express yourself, it’s always the fastest way to share a moment!
we’re looking for a data scientist, smb data & analytics to join snap inc.
what you’ll do:
drive smb’s global business strategy, advise its execution, improve efficiency and facilitate customers’ success at scale.
lead the development of our predictive algorithms across a number of different areas all with the aim of better understanding our customer and our business
lead and perform deep-dive analyses using analytical and statistical tools on very large, complex, multi-dimensional datasets.
identify levers for revenue & retention growth, efficiency enhancement and investments to unlock non-linear business growth.
advocate for key smb-oriented insights and recommendations with partner teams, including product, engineering, sales, growth, and operations.
establish a rigorous set of kpis and metrics (input and output) for measuring advertiser growth, revenue and retention.
provide quantitative support, market understanding and a strategic perspective to smb and its partner teams on all questions involving small and medium businesses.
knowledge, skills & abilities:
expertise using data modeling skills to identify key product trends and new product opportunities
ability to design implement, and track core metrics to analyze the performance of our products
ability to create visuals, dashboards, and reports to optimally communicate your insights
ability to collaborate with engineers, product managers, and other cross-functional teams
ability to initiate and drive projects to completion with minimal guidance
an understanding of snapchat with great product sense and product understanding
minimum qualifications:
bs/ba degree in statistics, mathematics, economics, computer science or equivalent years of experience
3+ years of experience in quantitative analysis & data science or a related field
3+ years of experience using sql or similar big data querying languages
3+ years of experience with programming language, such as python or r
3+ years of experience with applied statistical techniques, such as inferential methods, causal methods, a/b testing, or statistical modeling techniques
preferred qualifications:
advanced degree in applied mathematics, statistics, actuarial science, economics or related field
experience using machine learning and statistical analysis for building data-driven product solutions or performing methodological research.
experience in online media/marketing measurement, analytics, or statistics, preferably in a consumer/ smb business
experience working with sales, marketing, and/or customer service organizations.
compensation
in the united states, work locations are assigned a pay zone which determines the salary range for the position. the successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. these pay zones may be modified in the future.
zone a (ca, wa, nyc): the base salary range for this position is $165,000 - $230,000 annually
zone b: the base salary range for this position is $157,000 - $219,000 annually
zone c: the base salary range for this position is $140,000 - $196,000 annually
this position is eligible for equity in the form of rsus
""default together"" policy at snap: at snap inc. we believe that being together in person helps us build our culture faster, reinforce our values, and serve our community, customers and partners better through dynamic collaboration. to reflect this, we practice a “default together” approach and expect our team members to work in an office at least 80% of the time (an average of 4 days per week).
if you are not based in the same location(s) listed for this role and are open to relocation, we encourage you to apply to take advantage of our generous relocation policy.
at snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. eoe, including disability/vets. if you have a disability or special need that requires accommodation, please don’t be shy and contact us at .
our benefits: snap inc. is its own community, so we’ve got your back! we do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. our benefits are built around your needs and include paid parental leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in snap’s long-term success!
"
3587814243,Data Scientist,"about wurl, llc.
wurl is a global streaming network. our b2b services provide streamers, content companies, and advertisers with a powerful, integrated network to distribute and monetize streaming television reaching hundreds of million of connected televisions in over 50 countries. this year wurl was acquired by applovin (nasdaq: app), an industry-leading mobile marketing ad tech company, bringing together the technology and innovation of the mobile and television industries. with the merger, wurl employees enjoy the best of both worlds: the dynamic environment of a 160+ person start-up and the stability of a high-growth public tech company.
wurl is a fully-remote company that has been recognized for the second year in a row as a great place to work. wurl invests in providing a culture that fosters passion, drives excellence, and encourages collaboration to drive innovation. we hire the world's best to build a bunch of cool stuff on an interface fully integrated with their own from streaming, advertising and software technology to continue to help us disrupt the way the world watches television.
data scientist - remote
wurl is seeking an experienced, detail-oriented data scientist who will support our product, sales, leadership, and marketing teams with insights gained from analyzing company data. wurl's position in the video and ad delivery ecosystem enables detailed performance and behavioral measurement. the ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. they must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms, and creating/running simulations and predictions. they must have a proven ability to drive business results with their data-based insights. they must be comfortable working with a wide range of stakeholders and functional teams. the right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
the ideal candidate is experienced with big data, ml processes, sql, python, agile processes, microservice architectures, saas concepts. experience with ott video, ad insertion processes, jira, confluence, datadog, snowflake, aws, and databricks is advantageous but not mandatory.
what you'll do:
contributing to wurl's understanding of our data
contributing to data processing and machine learning initiatives
identifying quality metrics and data features
building data models and prediction models
contributing to wurl's ml frameworks: research models
participating in the evolution of wurl's data management and analysis framework
creating solutions that are practical and can be applied to business applications
using probability, statistics, predictive modeling, machine learning, or other quantitative methodologies to solve real-world tv delivery and advertisement problems.
qualifications:
phd in computer science, mathematics, physics or relative field plus 2 years of relevant experience or master's degree in computer science, mathematics, physics or relative field plus 4 years of relevant experience
expert programming skills with python and sql
knowledge of spark/pyspark
strong mathematical background and knowledge including but not limited to statistics, predictive modeling, linear algebra, machine learning
experience with ai, including building ml models using frameworks such as tensorflow, pytorch, sparkml, scikit-learn.
knowledge of fundamental nlp concepts and updated with the state-of-the-art nlp models
data pre-processing, visualization and data cleansing experience
experience dealing with big datasets and databases
effective communication skills
works well in a team and independently
soft skills: creative, innovative, open to receiving and giving constructive criticism, open to discussions, trustworthy and reliable
proven record of being an outstanding problem-solver
location: us remote.
pluses:
advanced proficiency with data visualization tools (such as tableau, power bi, domo)
knowledge snowflake, databricks and git
experience with saas offerings: aws preferred. containerization, serverless processes, microservice architectures, etc.
experience with ott streaming formats (hls, dash), ssai
publications in a peer reviewed journals
what we offer
competitive salary & equity
remote first policy
flexible time off
12 us holidays
401(k) matching
pre-tax savings plans, hsa & fsa
ginger, aaptiv and headspace subscriptions for mental and physical wellness
onemedical subscription for 24/7 convenient medical care
paid maternity and parental leave for all family additions
discounted petplan and easy at home access to covid testing with empowerdx
$1k work from home stipend to set up your office
few companies allow you to thrive like you will at wurl. you will have the opportunity to collaborate with the industry's brightest minds and most innovative thinkers. you will enjoy ongoing mentorship, team collaboration and you will understand what we mean by 'human connection"". you will be proud to say you're a part of the company revolutionizing tv.
wurl provides a competitive total compensation package with a pay for performance rewards approach. the expected base pay range for this [ca based or north america based] position is $121,000 - $196,000. base compensation at wurl is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. depending on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical and other benefits.
"
3587810834,Machine Learning Engineer,"we're seeking a talented machine learning engineer to join our mission of revolutionizing the ion factory os for next-generation hardware creators. as a full-time addition at our vibrant downtown los angeles office, you'll play a crucial role in our dynamic data team.
our data team is passionate about supporting companies tackling humanity's boldest challenges in the realm of evtols, rockets, robots, and autonomous vehicles. join our diverse squad, renowned for quick learning, sharp thinking, and agile execution. ready to make an impact on the hardware industry and industry 4.0? let's dive in!
responsibilities & duties
develop, implement, and deploy machine learning models in production environments
work with cross-functional teams to define and prioritize ml use cases based on business requirements
collaborate with data engineers, data scientists, and software engineers to build scalable and efficient ml pipelines
implement ml workflows and monitoring solutions using mlflow or other similar life-cycle model management tools
continuously improve and optimize the performance of ml models in production
document and communicate ml processes, models, and results to stakeholders
minimum qualifications & skills
3+ years of experience in machine learning engineering with a focus on production deployment
strong programming skills and experience in python, rust, or r
solid understanding of machine learning algorithms, such as supervised and unsupervised learning, reinforcement learning, and deep learning, as well as experience with popular machine learning libraries such as tensorflow, pytorch, or scikit-learn
hands-on experience with ml workflow management tools such as mlflow
experience with building, testing, and deploying ml models in production
solid understanding of data structures, algorithms, and statistics
strong knowledge of software engineering best practices and version control systems such as git
preferred qualifications & skills
experience with distributed computing technologies such as apache spark or dask
familiarity with containerization technologies such as docker and kubernetes
knowledge of cloud platforms such as aws, gcp, or azure
experience with data engineering, data modeling, and data architecture
strong communication and collaboration skills
utilize infrastructure tooling, such as terraform or helm, to manage and automate the deployment, scaling, and monitoring of machine learning models in production environments
benefits & perks
health insurance; medical, vision, dental, & life insurance
paid parental leave
employee stock option plan
team outings, group lunches, an open office, happy hours
paid holidays, sick days
first resonance is an equal opportunity employer dedicated to building an inclusive and diverse workforce.
join the team and inspire the work
"
3584956512,AI/ML Software Engineer,"come join a team of industry and science leaders to achieve a vision of empowering innovation through state of the art artificial intelligence and machine learning. we are addressing exciting challenges for our customers, at the intersection of ai/ml and cutting-edge cloud infrastructure, with nlp being a core area of what we do and what we offer our customers.
what you would do
design, architect, and implement robust infrastructure solutions for ai systems, ensuring optimal performance, scalability, and cost-efficiency while considering the unique requirements and complexities associated with artificial intelligence.
champion the adoption of cutting-edge data science methodologies within the team, fostering an environment that prioritizes system scalability and seamless development processes.
transform ai/ml prototypes developed by our scientists into industry-grade products, facilitating the seamless integration of aixplain's platform for both existing and prospective clients.
transform ai/ml prototypes developed by our scientists into industry-grade products, facilitating the seamless integration of aixplain's platform for both existing and prospective clients. drive innovation and excellence in software engineering by designing, developing, testing, deploying, documenting, maintaining, and enhancing software solutions, while effectively managing project priorities, deadlines, and deliverables to ensure the timely delivery of high-quality products.
must haves
bsc in computer/software engineering, science, or a related technical field.
minimum of 2 years in software development.
ability to handle ambiguity and thrive in a highly collaborative tech-startup environment, while maintaining a customer-centric approach.
advanced proficiency in python programming language.
familiarity with unit testing tools, such as pytest.
proficient in using github for code management.
strong experience with multithreading and multiprocessing programming (., celery, ray).
good experience in deploying models using fastapi.
well-versed with sql/nosql databases and big-data platforms (., mongodb, hadoop, elastic-search, redis).
nice to haves
experience in designing, building, and deploying end-to-end ml pipelines using deep learning frameworks such as scikit-learn, pytorch, and tensorflow.
familiarity with mlops and automl platforms, including kubeflow, mlflow, kubernetes, and docker.
experience with cloud infrastructure orchestration using scripting tools.
"
3587808968,Machine Learning Engineer - Large Language Models,"we are looking for a talented machine learning engineer with interest in training large language models to join our innovative and fast-paced team. in this role, you will work on cutting-edge nlp projects and play a crucial part in developing and refining our productivity tools. if you are passionate about machine learning, have a strong background in natural language processing, and thrive in a collaborative and high-impact environment, we'd love to hear from you!
responsibilities
fine tune large language models that can generate high-quality text to solve domain specific needs.
implement end-to-end machine learning pipelines, including data preprocessing, model training, evaluation, and deployment.
continuously research and stay up-to-date with recent advancements in nlp and large language models, applying novel techniques and methodologies to improve our models.
conduct experiments and benchmarking to assess the performance of various model architectures and optimize hyperparameters.
troubleshoot and resolve any issues arising during model training and deployment.
qualifications
bachelors or masters in computer science, mathematics, or a related field with a focus on machine learning and nlp.
hands-on experience working with large language models like gpt, llama, bert, or transformer-based architectures.
proficiency in python and deep learning frameworks such as tensorflow or pytorch.
strong knowledge of nlp techniques, including tokenization, language modeling, and embeddings.
experience with distributed training and optimization techniques for large-scale machine learning models.
solid understanding of cloud platforms (., gcp (preferred), aws) and their machine learning offerings.
strong analytical and problem-solving skills, with the ability to think creatively and propose innovative solutions.
excellent communication skills and the ability to collaborate effectively in a cross-functional team.
"
