Job ID,Title,Company,Date,Link,Description Length,Description
3580991991,Data Engineer,Nike,2023-03-28,https://www.linkedin.com/jobs/view/data-engineer-at-nike-3580991991?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=a5pwQLEdYEm940EriOYCzw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,2932,"Become a Part of the NIKE, Inc. Team

NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.

Nike USA, Inc., located in Beaverton, OR. Design and implement data products and features in collaboration with product owners, data analysts, and business partners using Agile / Scrum methodology. Contribute to overall architecture, frameworks and patterns for processing and storing large data volumes. Evaluate and utilize new technologies/tools/frameworks centered around high-volume data processing. Translate product backlog items into engineering designs and logical units of work. Profile and analyze data for the purpose of designing scalable solutions. Define and apply appropriate data acquisition and consumption strategies for given technical scenarios. Design and implement distributed data processing pipelines using tools and languages prevalent in the big data ecosystem. Build utilities, user defined functions, libraries, and frameworks to better enable data flow patterns. Implement complex automated routines using workflow orchestration tools. Anticipate, identify and tackle issues concerning data management to improve data quality. Build and incorporate automated unit tests and participate in integration testing efforts. Utilize and advance continuous integration and deployment frameworks.

Applicant must have a Bachelor’s degree in Data Science, Computer Engineering, Computer Science, or Computer Information Systems and five (5) years of progressive post-baccalaureate experience in the job offered or engineering-related occupation. Experience must include the following-

Programming ability (Python, SQL);
Database related concept;
Big Data exposure;
Spark;
Airflow (Orchestration tools);
Cloud Solutions;
Software/Data design ability;
CI/CD understanding and implementation;
Code review;
Data Architecture; and
AWS, Azure.


NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.

NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.

]]>


Show more "
3554222370,Data Engineer,Patreon,2023-04-07,https://www.linkedin.com/jobs/view/data-engineer-at-patreon-3554222370?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=DUr0dQpGE%2BYRt%2Fk5TjqGWA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,4306,"Patreon is the best place for creators to build memberships by providing exclusive access to their work and a deeper connection with their communities. We’re building a content and community platform where creators can engage directly with their fans and monetize their creativity, while maintaining full ownership over the work they make and the communities they create.

We’re leaders in the membership space with 250,000+ active creators and over $3.5 billion paid directly to creators on our platform. Our team is building tools to optimize the creator-to-fan relationship, including native video, enhanced podcasting features, improved creation tools, and new community experiences. We’re continuing to invest heavily in building the most talented team in the Creator Economy and are looking for a Data Engineer to support our mission.

This role is available to those wishing to work in our SF and NY offices on a hybrid work model or those wishing to be fully remote in the United States.

About The Role



Work on a tight-knit team of highly motivated and experienced data engineers with frequent collaboration with data scientists, product managers and product engineers.
Work on both “data analytics” and “data infrastructure” type projects in a fast-paced, high-growth startup environment.
Build core data sets and metrics to power analytics, reports and experimentation.
Write real-time and batch data pipelines to support a wide range of projects and features including our creator-facing analytics product, executive reporting, FP&A, marketing initiatives, model training, data science analytics, A/B testing, etc.
Help manage and build out our data platform and suite of data tools.
Be a driver of a data-centric culture at Patreon. Work autonomously on large green field initiatives and help define data best practices at the company.


About You



Expert in SQL, Spark and Python or Scala
Significant experience modeling data and developing core data sets and metrics to support analytics, reports and experimentation. Solid understanding of how to use data to inform the product roadmap.
Enjoy collaborating with Data Scientists, Product Managers and Product Engineers. Comfortable playing the role of a Project Manager in order to drive results.
Have previously built real-time and batch data pipelines using tooling such as Airflow, Spark, Kafka, S3, Fivetran, Census, etc. Experience working with event tracking frameworks, data observability frameworks and experimentation frameworks.
Experience managing and working with Data Warehouses and Data Lakes such as Redshift, Big Query, Snowflake, Delta Lake, etc.
Highly motivated self-starter that is keen to make an impact and is unafraid of tackling large, complicated problems and putting in the work to ensure high craft deliverables.


About Patreon


Patreon powers creators to do what they love and get paid by the people who love what they do. Our team is passionate about making this mission and our core values come to life every day in our work. Through this work, our Patronauts:


Put Creators First | They’re the reason we’re here. When creators win, we win. ****
Build with Craft | We sign our name to every deliverable, just like the creators we serve.
Make it Happen | We don’t quit. We learn and deliver.
Win Together | We grow as individuals. We win as a team.


Patreon is proud to be an equal-opportunity employer. We provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, veteran status, or any other protected class.

Patreon offers a competitive benefits package including and not limited to salary, equity plans, healthcare, unlimited paid time off, company holidays and recharge days, commuter benefits, lifestyle stipends, learning and development stipends, patronage, parental leave, and 401k plan with matching.

The posted range represents the expected salary range for this job requisition and does not include any other potential components of the compensation package, benefits and perks previously outlined. Ultimately, in determining pay, we'll consider your experience, leveling, location and other job-related factors.

San Francisco Pay Range

$139,000 — $193,500 USD
Show more "
3580202862,DATA ENGINEER,Dollar General,2023-03-28,https://www.linkedin.com/jobs/view/data-engineer-at-dollar-general-3580202862?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=3h%2Bmsp39D1%2F3sBXBOvYvng%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,3484,"Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.




General Summary




Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.




Duties & Responsibilities




Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and cloud technologies.
Build analytics tools that utilize the data pipelines to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.




Knowledge, Skills and Abilities




Knowledge of programming languages (e.g. Java and Python)
Hands-on experience with SQL database design
Great numerical and analytical skills
Degree in Computer Science, IT, or similar field; a Master’s is a plus
Data engineering certification (e.g IBM Certified Data Engineer) is a plus
Experience with big data tools Hadoop, Spark, Kafka, etc.
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools Azkaban, Luigi, Airflow, etc.
Experience with Snowflake/Azure cloud services EC2, EMR, RDS, Redshift
Experience with stream-processing systems Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages Python, Java, C++, Scala, etc




Work Experience &/or Education




Degree in information technology or computer science with additional vendor-specific certification.
BS or MS degree in Computer Science or a related technical field
4+ years of Python or Java development experience
4+ years of SQL experience (No-SQL experience is a plus)
4+ years of experience with schema design and dimensional data modeling
Ability in managing and communicating data warehouse plans to internal clients
Experience designing, building, and maintaining data processing systems
Experience working with a cloud platform such as Snowflake / Azure or Databricks
Show more "
3576971441,Data Engineer (Entry Level ),Patterned Learning AI,2023-04-20,https://www.linkedin.com/jobs/view/data-engineer-entry-level-at-patterned-learning-ai-3576971441?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=Daf4DHrJnm8LvYHYbTy4WQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,1349,"REMOTE (US/Canada Residing people only, with work permit)




Patterned Learning – Data Engineer (Entry Level ) , FULL-TIME, Salary $100K - $130K a year.




About us: The Future of AI is Patterned, a stealth-mode technology startup. Top investors include Sequoia and Anderson Horowitz, founders from Google, DeepMind, and NASA and we’re hiring for almost everything!




About The Job




Required Skills and Experience:




Experience in writing cloud-based software
Expertise with AWS data processing products (Kinesis, S3, Lambda, etc.) or comparable (Redis, Kafka, Google DataFlow, etc.)
Strong knowledge of relational DBs (Postgres, Snowflake, etc.) including SQL, data modeling, query tuning, etc.
Experience delivering software products built using Python
Experience using professional software development practices, including: Agile processes, CI/CD, etc)
Familiarity with distributed data processing frameworks (AWS Glue, Spark, Apache Beam, etc.)
Familiarity with modern data analysis, dashboarding and machine learning tools (DBT, Fivetran, Looker, SageMaker, etc.)




Special Benefits You Will Love




Flexible vacation, paid holidays, and paid sick days
401(k) with up to 2% employer match (no match)
Health, vision, and dental insurance.




Schedule: 8 hour shift, Monday to Friday , Time: Flexible, Job Type: Full-time
Show more "
3576230763,Data Engineer,Near,2023-04-21,https://www.linkedin.com/jobs/view/data-engineer-at-near-3576230763?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=xGMZLfrLbZS1xpBCnGqLtQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2284,"Description




Near is seeking a Data Engineer to join our team. In this role, you will have the opportunity to work on a huge scale of data, a cutting-edge tech stack, and leverage your skills and toolset to help us build a high-value and scalable product. You will be responsible for developing techniques to enhance data. You will also work with our data scientists, data analysts and product stakeholders to implement processes and infrastructure in order to support our data driven reports and analytics. These systems process billions of location data points per day.




You will be part of one of the fastest growing Enterprise SaaS companies – a great opportunity for people who can work independently and are self-driven.




A Day in the Life:




Design, build and maintain the data pipeline for ingress and egress of location-based data
Build and optimize the data warehouse to allow for report generation and analytics
Assemble large, complex data sets that meet business requirements




What you bring to the role:




Moderate experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Moderate knowledge of AWS cloud services: EC2, EMR, RDS, Redshift, S3, Athena
Experience with object-oriented/object function scripting languages (Python)
Experience with Airflow or other orchestration tool
Experience with Docker
Experience with big data technologies: Spark, Hive, Mad/Reduce, Hadoop
Experience with UNIX/Linux including basic commands and shell scripting
Experience breaking down complex problems into manageable steps to solve
Must be a team player with strong attention to detail, and also able to work independently
Proven track record at delivering timely and accurate information in a fast-paced environment
Ability to build rapport with product, project, and QA teams
Excellent critical thinking, problem solving, and mathematical skills, and sound judgment
Experience building and optimizing AWS data pipelines, architectures and data sets
Familiarity with mobile location data intelligence infrastructure and industry
GIS background is nice to have
Able to work independently




Compensation:




$160,000 - 175,000 base salary + bonus + RSUs
Comprehensive benefits package
Show more "
3549205728,Data Engineer,Massachusetts Institute of Technology,2023-04-04,https://www.linkedin.com/jobs/view/data-engineer-at-massachusetts-institute-of-technology-3549205728?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=bKveZZzSdFvABQJ1TLdJHQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,97,Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.
3580201929,DATA ENGINEER,Dollar General,2023-03-28,https://www.linkedin.com/jobs/view/data-engineer-at-dollar-general-3580201929?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=tb7RXqLU%2BnBjz7TVYyasYw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,3484,"Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.




General Summary




Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.




Duties & Responsibilities




Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and cloud technologies.
Build analytics tools that utilize the data pipelines to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.




Knowledge, Skills and Abilities




Knowledge of programming languages (e.g. Java and Python)
Hands-on experience with SQL database design
Great numerical and analytical skills
Degree in Computer Science, IT, or similar field; a Master’s is a plus
Data engineering certification (e.g IBM Certified Data Engineer) is a plus
Experience with big data tools Hadoop, Spark, Kafka, etc.
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools Azkaban, Luigi, Airflow, etc.
Experience with Snowflake/Azure cloud services EC2, EMR, RDS, Redshift
Experience with stream-processing systems Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages Python, Java, C++, Scala, etc




Work Experience &/or Education




Degree in information technology or computer science with additional vendor-specific certification.
BS or MS degree in Computer Science or a related technical field
4+ years of Python or Java development experience
4+ years of SQL experience (No-SQL experience is a plus)
4+ years of experience with schema design and dimensional data modeling
Ability in managing and communicating data warehouse plans to internal clients
Experience designing, building, and maintaining data processing systems
Experience working with a cloud platform such as Snowflake / Azure or Databricks
Show more "
3580764388,Data Engineer,Itility US,2023-03-28,https://www.linkedin.com/jobs/view/data-engineer-at-itility-us-3580764388?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=Crfv18L2eHWEcsq%2FvXnfxg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,5328,"Do you have experience with writing code to ingest data? Do you like data wrangling, digging into data sources, and processing data to a readable and usable state? Do you love that feeling of accomplishment when data is flowing seamlessly into a data lake, day in day out, hour after hour, based on code that you have carefully crafted? Then this job opening is just what you are looking for!




We need your expertise




For multiple enterprise customers we create data connectors to make data flow from various sources to a data lake of choice: that can be Splunk, Databricks, Hadoop, or any other technical implementation. What they have in common, is that the data will be used in a production environment, so it must flow seamlessly and needs to be monitored for disruption. Data validation and data quality are also important.




What You'll Do




Create data connectors, using Python or other coding languages.
Define data validation tests to run in the data pipeline.
Define monitoring and alerting to ensure visibility when the data flow is interrupted or corrupted.
If incidents occur, you take the lead in getting to the root cause as soon as possible to solve the incident with as little impact on the end users as possible.
You and the team are responsible for building, deploying, maintaining, and optimizing the data ingestion and data connectors to have data flow to the data lake.
Building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets of structured, semi-structured and unstructured data.
Build data products incrementally and integrating and managing data sets from multiple sources.
Work side-by-side with software engineers and data scientists in designing modeled data sets to be used in many different applications, from proof-of-concept to production.
Work alongside Business Analysts for requirements gathering, and decide how to implement data pipelines, identifying which data to use and define what tooling should be used.
Collaborate with ETL/data services team, application teams to support the development of data solutions.
Work side-by-side with software engineers and data scientists in designing modeled data sets to be used in many different applications, from proof-of-concept to production.




Meet Itility




At Itility we believe in merging technology and data to drive our customers one step beyond. Itility digital consultants are experts in data, cloud, software, and IT infrastructure. Our culture can be described as ‘no-nonsense, with passion’. Working at Itility is about working with people, staying close to our customers. We work for large enterprises and innovative startups. Acting as the ‘digital twin’ of customers, we work shoulder-to-shoulder to exceed business goals and push the boundaries of what you thought was possible. Do you like to go above and beyond? Do you want to work with passion for what you do, in a team of people fueled by the same passion? Then we would love to meet you!




This Is What We Offer




You will be given the opportunity to develop in the best way possible, under the personal guidance of fellow data engineers and architects of Itility. If you do not have the required expertise for the job but do have the passion for data engineering, we offer a substantial trainee program to get you up to speed for the job in a planned manner.




Other requirements:




You have a bachelor’s or master’s degree.
You have experience creating data ingestion scripts.
You are a team player and you have good communication skills.
You have a good understanding of SQL and Python.
Experience with Linux is a prerequisite.
Knowledge of continuous integration & delivery tooling: e.g. Jira, Git, Jenkins, Bamboo.
Experience with big data platforms and tools such as Hadoop, Spark, Kafka.
AWS or Azure Cloud DevOps Services preferred.
You believe in scrum/agile way-of-working and in software practices that enable a professional data flow.
Ideally, you have worked with data platforms and data lakes within an enterprise environment.
You have a hands-on mindset, a strong customer focus, a problem-solving orientation and can show fast results.




You will report to the Itility program manager and work in close harmony with team members while interfacing with the standing client IT organization.




5-10% travel required.




Screening is part of the hiring procedure.




This is a hybrid position, so it is a requirement that you are based within 100 miles of the San Diego area.




Anticipated salary range: $100,000-$135,000




Factors in determining the appropriate compensation for a role include experience, skills, knowledge, abilities, education, licensure and certifications, and other business and organizational needs. The Hiring Pay Scale referenced in the job posting is the budgeted salary or hourly range that Itility reasonably expects to pay for this position. The Annual Full Pay Range may be broader than what Itility anticipates paying for this position, based on internal equity, level and budget.




Location




San Diego, CA




Most of our positions are hybrid/remote. Unless otherwise indicated in the job post, it is a requirement that you are based within 100 miles of the job's stated location.




Powered by JazzHR




GzaYgMrybl
Show more "
3578404900,Data Engineer I - (Remote),Help at Home,2023-03-29,https://www.linkedin.com/jobs/view/data-engineer-i-remote-at-help-at-home-3578404900?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=5EIQoimUw6SxTTA0Kno8wg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,5738,"Help at Home is the leading national provider of in-home personal care services, where our mission is to enable individuals to live with independence and dignity at home. Our team supports 66,000 clients monthly with the help of 49,000 compassionate caregivers across 12 states. We’re looking for people who care about others, who are willing to listen, lean in and make impactful change. Each role at Help at Home can have a positive impact in supporting our caregivers and clients. If you are someone who leads with passion and integrity and are looking to join a rapidly growing, industry leading team, Help at Home may be a good fit for you.

Job Summary

The Data Engineer is responsible for delivering data warehouse solutions by building enterprise data models and writing ETL/ELT processes to map, cleanse and standardize multiple source systems of data to populate the enterprise data models for business consumption. They will be working throughout a multi-layered data warehouse environment in order to support a wide variety of business needs. This role is responsible for delivering solutions that meet our growing business needs as they relate to our enterprise data and analytics strategy for Care Coordination and Help at Home. The ideal candidate should be comfortable with driving creation of a platform with focus on the Data Mesh architecture.

As a Key Member Of The Team

You are flexible and can embrace change
You value progress over perfection
You care about your work, the team you’re on, and the people we are helping
You make it a priority to get to know the people around you – build relationships with your colleagues and business partners
You say what needs to be said, while considering how it’ll affect culture and output
Hold others to a high standard

Duties/Responsibilities

Leverages CDC to optimize the ETL/ELT processes they develop including being able to develop routines to determine changed records when they are not provided by the source system
Creates GitHub actions and builds pipelines for dev, stage, and prod
Effectively communicates with stakeholders to understand business requirements with the ability to translate requirements into technical designs and solutions and convey the requirements and designs to team members
Profiles the source system data and assess its data quality to design and develop solutions to improve the data quality such that it maps properly into the data warehouse structures and meets the data warehouse standards
Works with the business to determine survivorship rules, builds the golden record based on the rules and then builds and maintains structures for the integrated dimensions and facts; understands master data guiding principles and best practices in terms of the technical de-duplication process, which includes enhancing data quality to support matching and grouping
In alignment with Data Mesh, builds ingestion, integration and sharing patterns and frameworks for better data access
Maps source system data structures into the data warehouse data model (source-target mapping) and enhance the data warehouse data model as needed to meet the business needs
Improves our overall data security posture; strengthens our SDLC and Devops strategy in support of sustained business growth
Maintains knowledge of current trends and developments in the field and actively explore emerging technologies

Required Skills/Abilities

Cloud-first mindset
Ability to work in a fast-paced dynamic, environment delivering solutions that significantly impact the business
Knowledge of testing frameworks and TDD or BDD
Self-starter, self-managed, quick learner, problem-solver with a positive, collaborative, and team-based attitude who is willing to support and teach fellow team members
Strong data analysis skills
Strong relational database skills including advanced SQL knowledge and the ability to create complex queries and stored procedures.
Strong understanding of data warehouse and business intelligence design principles and industry best practices, including relational and dimensional modeling and ETL/ELT methods
Understanding of trunk-based development.
Working knowledge of Snowflake
Working knowledge of Snowflake DBMS and JSON

Education And Experience

AWS architecture, developer, security, and networking experience.
3+ Years of experience in data engineering required.
Bachelor’s Degree in Computer Science, Data & Analytics, Information Management, Healthcare Informatics, Business Administration, Statistics, or related field required.
Demonstrated experience with automation.
Demonstrated experience with one or more of the following languages: Go, Python, Typescript.
Strong experience with various AWS services like (S3, Lambda, Glue, EMR, CloudFormation, MWAA, Kinesis, MSK).
Cloud (AWS), Warehousing, and Snowflake experience preferred

The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions upon request.

Help At Home is an Equal Employment Opportunity (EEO) employer and welcomes all qualified applicants. Applicants will receive fair and impartial consideration without regard to race, sex, color, religion, national origin, age, disability, veteran status, genetic data, or religion or other legally protected status.
Show more "
3575035401,Data Engineer,Miso Robotics,2023-03-28,https://www.linkedin.com/jobs/view/data-engineer-at-miso-robotics-3575035401?refId=xrGJB2DtJqp%2BzeAXg1JJcQ%3D%3D&trackingId=XfRltA%2BIdAXeszgHrgM5vA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,4065,"Our Company




We are a cutting-edge robotics startup that aims to revolutionize the industry through innovative designs, smart automation, and seamless integration. Our dynamic team is dedicated to pushing the boundaries of robotics by leveraging advanced technologies and creative problem-solving. We are seeking a best-in-class Data Engineer to join our team and help us build the foundation for the next generation of robotic solutions.




Our Values




We live with a TEAM mindset - we win together. Individual performance serves the bigger goal of working as a team.
We are easy on people, hard on problems. We work relentlessly to solve issues.
We use Candor - ego has no place here. Always polite and extremely direct.
We operate with Rigor - superb execution is a core skill.
We are bought in - each of us is dedicated to the mission.
Innovation is in our blood - we are intrepid.
We think big - we’re here to make an impact. Miso plays large ball.




Benefits and Perks We Offer




Unlimited/Flexible Vacation
Comprehensive health benefits
401K plan
A competitive salary and benefits package.
Opportunities for professional growth and development.
A creative and supportive work environment where your ideas can make a real impact.
The chance to work on cutting-edge robotics projects and be part of a rapidly growing industry.
If you are passionate about data engineering, eager to tackle complex challenges, and want to contribute to the future of robotics, we would love to hear from you. Apply now and join our team on this exciting journey!




The Role




As a Data Engineer at our company, you will play a critical role in designing, developing, and maintaining our data infrastructure. You will be responsible for managing and optimizing our Data Lake, implementing AWS services, and integrating IoT and NoSQL solutions to support our robotics systems. Your expertise in identity management will ensure the security and integrity of our data assets.




Additional Information: The pay range for this position is $90,000 - $140,000 + equity + benefits. Our salary ranges are determined by the experience and education required, and level of responsibility. The range posted for this role represents a range that Miso Robotics, in good faith, believes it is willing to pay at the time of this posting. The pay is determined by job related skills, training, education, and experience.




What You’ll Do




Design, develop, and maintain scalable and efficient data pipelines to support our robotics solutions.
Implement and optimize AWS services, including EC2, S3, Lambda, Kinesis, and Redshift for data storage and processing.
Leverage IoT technologies to collect and process data from various sensors and robotic systems.
Develop and maintain NoSQL databases, ensuring high performance, availability, and security.
Implement identity management and access control solutions to safeguard sensitive data.
Collaborate with cross-functional teams to identify data requirements and drive data-related projects.
Continuously improve data engineering processes, tools, and methodologies to maintain a competitive edge.
Troubleshoot data-related issues and provide timely resolutions.
Stay current with industry trends and emerging technologies to ensure the adoption of best practices.




Requirements




Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
A minimum of 4 years of experience as a Data Engineer, preferably in a startup or robotics environment.
Strong expertise in AWS services and Data Lake architectures.
Hands-on experience with IoT technologies and NoSQL databases (e.g., MongoDB, Cassandra, or Couchbase).
Proficiency in identity management and access control solutions.
Excellent programming skills in Python, Java, or other relevant languages.
Strong analytical, problem-solving, and communication skills.
Ability to work effectively in a fast-paced, collaborative environment.
Knowledge of robotics systems and technologies is a plus.
Ability to work in our HQ in Pasadena, CA.
Show more "
